         356816814 function calls (356815059 primitive calls) in 847.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    4.833    1.611    4.934    1.645 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
       24    3.959    0.165    3.959    0.165 {built-in method pandas._libs.tslib.array_to_datetime}
    25444    3.750    0.000    3.750    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  5496455    2.312    0.000    2.312    0.000 {method 'append' of 'list' objects}
  1250064    1.997    0.000    1.997    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\sheet.py:491(row_values)
  1250064    1.949    0.000    1.949    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\sheet.py:483(row_types)
  1250043    1.600    0.000    1.600    0.000 {built-in method builtins.round}
      161    1.570    0.010    1.572    0.010 {pandas._libs.lib.maybe_convert_numeric}
       84    1.451    0.017    2.068    0.025 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:3057(_remove_empty_lines)
       21    1.419    0.068   13.523    0.644 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:432(process_stream_iterparse)
    25570    1.329    0.000    1.329    0.000 {built-in method zlib.crc32}
       63    1.109    0.018    1.109    0.018 {pandas._libs.parsers.sanitize_objects}
   247091    1.033    0.000    1.461    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:143(cooked_text)
   247091    1.008    0.000    2.673    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:151(get_text_from_si_or_is)
  1250064    0.925    0.000    1.221    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:3191(<genexpr>)
    25444    0.800    0.000    7.492    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:997(_read1)
       21    0.654    0.031    0.654    0.031 {pandas._libs.lib.to_object_array}
  471/382    0.627    0.001    0.650    0.002 {built-in method numpy.core._multiarray_umath.implement_array_function}
    15419    0.619    0.000    0.619    0.000 {method 'read' of '_io.BufferedReader' objects}
  1250043    0.613    0.000    0.613    0.000 {built-in method builtins.divmod}
  1251282    0.612    0.000    0.612    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\timemachine.py:19(<lambda>)
    40754    0.573    0.000    1.794    0.000 {built-in method builtins.max}
    25570    0.388    0.000    8.090    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:917(read)
      178    0.375    0.002    0.375    0.002 {built-in method pandas._libs.missing.isnaobj}
      186    0.286    0.002    0.290    0.002 {pandas._libs.lib.infer_dtype}
       12    0.261    0.022    0.261    0.022 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1646(is_unique)
    15335    0.259    0.000    1.195    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:757(read)
    15482    0.235    0.000    0.235    0.000 {method 'tell' of '_io.BufferedReader' objects}
       84    0.231    0.003    0.401    0.005 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1906(_merge_blocks)
      101    0.216    0.002   29.881    0.296 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:330(_save_chunk)
       88    0.216    0.002    0.216    0.002 {pandas._libs.algos.take_2d_axis0_int64_int64}
       69    0.215    0.003    0.215    0.003 {pandas._libs.lib.infer_datetimelike_array}
        9    0.204    0.023    0.204    0.023 {pandas._libs.algos.take_2d_axis1_object_object}
      612    0.180    0.000    0.180    0.000 {built-in method numpy.empty}
        5    0.167    0.033    0.167    0.033 {pandas._libs.algos.take_2d_axis1_float64_float64}
    15386    0.165    0.000    1.420    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:1033(_read2)
    25360    0.142    0.000  410.860    0.016 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1268(feed)
       93    0.141    0.002    0.193    0.002 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1843(_stack_arrays)
       21    0.138    0.007    0.138    0.007 {method 'take' of 'numpy.ndarray' objects}
   247112    0.137    0.000    0.138    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:136(unescape)
2069/1965    0.132    0.000    0.132    0.000 {built-in method numpy.array}
        1    0.128    0.128  847.812  847.812 C:\Users\Jishnuraj k\Desktop\Internship\task4.py:9(main)
       21    0.123    0.006  736.551   35.074 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:784(open_workbook_2007_xml)
       21    0.118    0.006   68.565    3.265 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_base.py:390(parse)
        1    0.108    0.108  332.789  332.789 C:\Users\Jishnuraj k\Desktop\Internship\Task1.py:8(detail)
   247091    0.106    0.000    0.106    0.000 {method 'strip' of 'str' objects}
       29    0.104    0.004    0.104    0.004 {pandas._libs.algos.take_2d_axis0_object_object}
        3    0.103    0.034    9.054    3.018 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:420(_read)
   247245    0.101    0.000    0.101    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\timemachine.py:32(<lambda>)
    25444    0.101    0.000    1.430    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:950(_update_crc)
   248195    0.100    0.000    0.100    0.000 {method 'join' of 'str' objects}
    25444    0.100    0.000  410.786    0.016 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1690(feed)
        5    0.095    0.019    0.095    0.019 {pandas._libs.algos.take_2d_axis1_int64_int64}
      269    0.091    0.000    0.092    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:5141(__setattr__)
        3    0.083    0.028    0.083    0.028 {pandas._libs.tslibs.parsing.concat_date_cols}
       37    0.074    0.002    0.074    0.002 {method 'argsort' of 'numpy.ndarray' objects}
      101    0.066    0.001    0.121    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\formats\format.py:1574(_is_dates_only)
       21    0.065    0.003    0.959    0.046 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:31(concatenate_block_managers)
        6    0.064    0.011    0.065    0.011 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:591(_aggregate)
     1006    0.064    0.000    0.064    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.062    0.062  256.098  256.098 C:\Users\Jishnuraj k\Desktop\Internship\Task1.py:20(detailVol)
        1    0.061    0.061  247.936  247.936 C:\Users\Jishnuraj k\Desktop\Internship\Task1.py:32(detailTemp)
    15419    0.061    0.000    0.061    0.000 {method 'seek' of '_io.BufferedReader' objects}
        7    0.059    0.008    0.059    0.008 {pandas._libs.algos.take_2d_axis0_float64_float64}
        3    0.048    0.016    0.049    0.016 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1981(__init__)
        9    0.045    0.005    0.047    0.005 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexers.py:210(maybe_convert_indices)
       48    0.045    0.001    0.045    0.001 {built-in method io.open}
       56    0.044    0.001    0.044    0.001 {method 'copy' of 'numpy.ndarray' objects}
       21    0.042    0.002    2.143    0.102 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:3256(_get_lines)
       15    0.038    0.003    0.039    0.003 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1578(is_monotonic_increasing)
        6    0.038    0.006    0.552    0.092 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\groupby\grouper.py:314(_set_grouper)
      735    0.037    0.000    0.037    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    26015    0.036    0.000    0.047    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
      657    0.034    0.000    0.548    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:193(_isna_ndarraylike)
      278    0.034    0.000    0.034    0.000 {method 'extend' of 'list' objects}
        3    0.033    0.011    0.105    0.035 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\sorting.py:257(nargsort)
    15335    0.032    0.000    0.032    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:1527(<lambda>)
      216    0.032    0.000    0.032    0.000 {built-in method nt.stat}
        9    0.026    0.003    0.939    0.104 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1427(take)
       24    0.026    0.001   17.193    0.716 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1194(read)
      178    0.023    0.000    0.438    0.002 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:235(_isna_string_dtype)
       21    0.023    0.001    7.268    0.346 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:2554(read)
        6    0.022    0.004   29.904    4.984 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:313(_save)
      152    0.021    0.000    1.031    0.007 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\algorithms.py:1616(take_nd)
       12    0.019    0.002    0.019    0.002 {pandas._libs.lib.maybe_indices_to_slice}
40027/39821    0.019    0.000    0.311    0.000 {built-in method builtins.getattr}
        3    0.018    0.006    3.759    1.253 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1748(_agg_index)
      253    0.018    0.000    0.018    0.000 {built-in method numpy.arange}
     4518    0.018    0.000    0.042    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
    15238    0.017    0.000    0.017    0.000 {built-in method builtins.min}
        1    0.017    0.017    4.218    4.218 C:\Users\Jishnuraj k\Desktop\Internship\Task2.py:4(detailDownsampled)
     6062    0.016    0.000    0.069    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\base.py:256(is_dtype)
     4551    0.015    0.000    0.021    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\base.py:413(find)
        3    0.015    0.005    0.015    0.005 {method 'repeat' of 'numpy.ndarray' objects}
       66    0.015    0.000    0.432    0.007 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:977(_consolidate_inplace)
        1    0.014    0.014    3.326    3.326 C:\Users\Jishnuraj k\Desktop\Internship\Task2.py:18(detailVol_resample)
        1    0.013    0.013    3.316    3.316 C:\Users\Jishnuraj k\Desktop\Internship\Task2.py:11(detailTempDownsampled)
      378    0.013    0.000    0.013    0.000 {built-in method _struct.unpack}
  222/105    0.013    0.000    0.066    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:293(__new__)
     1090    0.012    0.000    0.029    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
     3973    0.012    0.000    0.023    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1600(_is_dtype_type)
      111    0.011    0.000    0.465    0.004 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:110(concat_compat)
      196    0.011    0.000    0.540    0.003 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:656(to_native_types)
        6    0.010    0.002    0.010    0.002 {pandas._libs.algos.ensure_float64}
     4808    0.010    0.000    0.011    0.000 {built-in method builtins.hasattr}
        3    0.010    0.003    0.287    0.096 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:1106(inferred_freq)
     1647    0.010    0.000    0.028    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:903(is_dtype)
      463    0.009    0.000    0.049    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2655(get_block_type)
    16261    0.009    0.000    0.009    0.000 {built-in method builtins.issubclass}
       39    0.008    0.000    0.016    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:87(_get_mgr_concatenation_plan)
        6    0.008    0.001    0.110    0.018 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:436(_cython_operation)
      216    0.007    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      104    0.007    0.000    5.295    0.051 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1938(to_native_types)
     1968    0.007    0.000    0.031    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:530(is_categorical_dtype)
      837    0.007    0.000    0.007    0.000 {method 'view' of 'numpy.ndarray' objects}
        3    0.007    0.002    0.007    0.002 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
       21    0.007    0.000    0.019    0.001 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:1328(_RealGetContents)
      891    0.007    0.000    0.012    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:224(is_sparse)
        3    0.007    0.002    0.631    0.210 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\frame.py:5255(sort_values)
     1812    0.007    0.000    0.036    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:456(is_period_dtype)
      126    0.007    0.000    0.042    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:1478(open)
      771    0.006    0.000    0.565    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:130(_isna)
      158    0.006    0.000    0.066    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:1871(sequence_to_dt64ns)
     1081    0.006    0.000    0.038    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:566(is_string_dtype)
      398    0.006    0.000    0.012    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:292(getitem_block)
      164    0.006    0.000    2.738    0.017 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1853(_infer_types)
      180    0.006    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_asarray.py:298(<setcomp>)
     1656    0.006    0.000    0.026    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:381(is_datetime64tz_dtype)
     1566    0.006    0.000    0.015    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:194(is_object_dtype)
       48    0.006    0.000    0.013    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
     1251    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       21    0.005    0.000    2.747    0.131 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\parsers.py:1778(_convert_to_ndarrays)
       56    0.005    0.000    0.025    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:351(_get_empty_dtype_and_na)
      590    0.005    0.000    0.015    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1330(is_bool_dtype)
        3    0.005    0.002    0.005    0.002 {pandas._libs.lib.generate_bins_dt64}
     2968    0.005    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:180(<lambda>)
     1332    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FF89F3AB810}
       12    0.005    0.000    0.005    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       42    0.005    0.000    0.005    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1544(_setevents)
      104    0.005    0.000    2.848    0.027 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:984(_format_native_types)
      959    0.005    0.000    0.014    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:1116(is_dtype)
      146    0.005    0.000    0.015    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
       42    0.005    0.000    0.095    0.002 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:261(process_stream)
      232    0.004    0.000    0.853    0.004 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\construction.py:390(sanitize_array)
      152    0.004    0.000    0.015    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\algorithms.py:1487(_get_take_nd_function)
      282    0.004    0.000    0.059    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2701(make_block)
      126    0.004    0.000    0.012    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1498(__init__)
     2094    0.004    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1565(_get_dtype)
     1259    0.004    0.000    0.033    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1541(_is_dtype)
      347    0.004    0.000    0.018    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
       27    0.004    0.000    0.243    0.009 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1715(form_blocks)
      101    0.004    0.000    6.568    0.065 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:604(_format_native_types)
     1608    0.004    0.000    0.004    0.000 {pandas._libs.lib.is_scalar}
      101    0.004    0.000    0.034    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\generic.py:3551(_slice)
      200    0.004    0.000    0.090    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:204(is_na)
      180    0.004    0.000    0.013    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_asarray.py:221(require)
      111    0.004    0.000    0.021    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:29(get_dtype_kinds)
      188    0.004    0.000    0.012    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\managers.py:132(__init__)
     1127    0.004    0.000    0.019    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:492(is_interval_dtype)
       63    0.004    0.000    0.004    0.000 {pandas._libs.ops.maybe_convert_bool}
      184    0.004    0.000    0.541    0.003 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1308(maybe_cast_to_datetime)
        6    0.004    0.001    0.113    0.019 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:581(aggregate)
     1090    0.004    0.000    0.012    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
      380    0.004    0.000    0.013    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4083(__getitem__)
      661    0.003    0.000    0.008    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
        4    0.003    0.001    0.003    0.001 {built-in method nt.listdir}
       21    0.003    0.000  736.595   35.076 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\__init__.py:33(open_workbook)
      359    0.003    0.000    0.014    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:237(mgr_locs)
      536    0.003    0.000    0.009    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1025(is_datetime_or_timedelta_dtype)
        3    0.003    0.001    0.003    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:993(_isnan)
    84/54    0.003    0.000    0.080    0.001 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\series.py:201(__init__)
      533    0.003    0.000    0.032    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1180(needs_i8_conversion)
      133    0.003    0.000    0.004    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:525(_combine_concat_plans)
      126    0.003    0.000    0.003    0.000 {method 'flush' of 'zlib.Decompress' objects}
      355    0.003    0.000    0.005    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:463(_simple_new)
      920    0.003    0.000    0.026    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:595(condition)
       98    0.003    0.000    6.449    0.066 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2122(to_native_types)
      158    0.003    0.000    0.072    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:299(_from_sequence)
       51    0.003    0.000    0.006    0.000 {pandas._libs.lib.clean_index_list}
     1080    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1322    0.003    0.000    0.004    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\numpy\core\numerictypes.py:286(issubclass_)
     3946    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     2968    0.003    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:178(classes)
      126    0.003    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1697(close)
     1080    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      205    0.003    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1185(maybe_castable)
     1120    0.003    0.000    0.019    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:603(<genexpr>)
      607    0.003    0.000    0.025    0.000 {built-in method builtins.any}
      662    0.003    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1296(is_float_dtype)
      604    0.003    0.000    0.005    0.000 {pandas._libs.lib.is_list_like}
      161    0.003    0.000    0.019    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:2085(maybe_convert_dtype)
      289    0.003    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:286(_simple_new)
      202    0.003    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\numeric.py:105(_shallow_copy)
       63    0.003    0.000    0.003    0.000 {built-in method _warnings.warn}
      917    0.003    0.000    0.004    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:422(is_timedelta64_dtype)
       49    0.003    0.000    0.003    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\formatting.py:459(is_date_format_string)
      528    0.003    0.000    0.006    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:696(is_integer_dtype)
      104    0.003    0.000    0.284    0.003 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\internals\concat.py:233(get_reindexed_values)
      232    0.003    0.000    0.555    0.002 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\construction.py:520(_try_cast)
      126    0.002    0.000    0.008    0.000 C:\Users\Jishnuraj k\anaconda3\lib\zipfile.py:809(__init__)
      336    0.002    0.000    0.004    0.000 {method 'decode' of 'bytes' objects}
      628    0.002    0.000    0.007    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5654(maybe_extract_name)
      117    0.002    0.000    0.021    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4196(equals)
